Ngày/tháng/năm,Giá tham chiếu,Giá trần,Giá sàn,Giá mở cửa,Giá đóng cửa,Giá cao nhất,Giá thấp nhất,Thay đổi (điểm),% thay đổi
18/10/2022,12300,13500,11100,12500,12700,13200,12500,400,3.25
19/10/2022,12700,13900,11500,12700,12400,12800,12300,-300,-2.36
20/10/2022,12400,13600,11200,12100,12100,12500,11900,-300,-2.42
21/10/2022,12100,13300,10900,12100,10900,12100,10900,-1200,-9.92
22/10/2022,0,0,0,0,0,0,0,0,0
23/10/2022,0,0,0,0,0,0,0,0,0
24/10/2022,10900,11900,9900,10900,9900,10900,9900,-1000,-9.17
25/10/2022,9900,10800,9000,9400,10000,10200,9000,100,1.01
26/10/2022,10000,11000,9000,10400,9400,10400,9000,-600,-6
27/10/2022,9400,10300,8500,9600,10200,10200,9000,800,8.51
28/10/2022,10200,11200,9200,10400,10200,10600,10000,0,0
29/10/2022,0,0,0,0,0,0,0,0,0
30/10/2022,0,0,0,0,0,0,0,0,0
31/10/2022,10200,11200,9200,10300,9900,10300,9300,-300,-2.94
1/11/2022,9900,10800,9000,9000,9200,9800,9000,-700,-7.07
2/11/2022,9200,10100,8300,9400,9300,9600,9000,100,1.09
3/11/2022,9300,10200,8400,9100,9000,9300,8900,-300,-3.23
4/11/2022,9000,9900,8100,9000,8100,9000,8100,-900,-10
5/11/2022,0,0,0,0,0,0,0,0,0
6/11/2022,0,0,0,0,0,0,0,0,0
7/11/2022,8100,8900,7300,8100,7300,8200,7300,-800,-9.88
8/11/2022,7300,8000,6600,6600,7100,7300,6600,-200,-2.74
9/11/2022,7100,7800,6400,7100,7300,7700,7000,200,2.82
10/11/2022,7300,8000,6600,6600,6600,7000,6600,-700,-9.59
11/11/2022,6600,7200,6000,6800,6500,7100,6100,-100,-1.52
12/11/2022,0,0,0,0,0,0,0,0,0
13/11/2022,0,0,0,0,0,0,0,0,0
14/11/2022,6500,7100,5900,6200,5900,6300,5900,-600,-9.23
15/11/2022,5900,6400,5400,5900,5400,5900,5400,-500,-8.47
16/11/2022,5400,5900,4900,4900,5900,5900,4900,500,9.26
17/11/2022,5900,6400,5400,6200,6400,6400,6200,500,8.47
18/11/2022,6400,7000,5800,6700,7000,7000,6000,600,9.38
